panel,tag,t,power_W,step_W,sd_W,drift_W,n_active,n_idle
a,f64,139.7352349358797,2.0958907593430895,,,,,
a,f64,140.9718299353123,2.09606197896129,,,,,
a,f64,142.20842493474484,2.1035625687830644,,,,,
a,f64,143.4450199341774,2.1090329739243896,,,,,
a,f64,144.68161493360995,2.1838861273548384,,,,,
a,f64,145.91820993304253,2.103246571195161,,,,,
a,f64,147.1548049324751,2.106741951042276,,,,,
a,f64,148.39139993190764,2.1053893411338716,,,,,
a,f64,149.62799493134023,2.099278537333871,,,,,
a,f64,150.86458993077278,2.097730610861788,,,,,
a,f64,152.10118493020533,2.0983116653887093,,,,,
a,f64,153.33777992963792,2.098658592743549,,,,,
a,f64,154.57437492907047,2.098201344626016,,,,,
a,f64,155.81096992850303,2.1051057030830647,,,,,
a,f64,157.0475649279356,2.1877473420491937,,,,,
a,f64,158.28415992736817,2.103526339069106,,,,,
a,f64,159.52075492680072,2.0963358655967737,,,,,
a,f64,160.7573499262333,2.096569012903252,,,,,
a,f64,161.99394492566586,2.1002360124741934,,,,,
a,f64,163.2305399250984,2.0966743386483873,,,,,
a,f64,164.467134924531,2.0966514441504063,,,,,
a,f64,165.70372992396355,2.095722505175807,,,,,
a,f64,166.9403249233961,2.1001701763766123,,,,,
a,f64,168.1769199228287,2.0967204178536583,,,,,
a,f64,169.41351492226124,2.17513419498871,,,,,
a,f64,170.6501099216938,2.1002581053056457,,,,,
a,f64,171.88670492112638,2.096116087089431,,,,,
a,f64,173.12329992055894,2.1035891939161293,,,,,
a,f64,174.3598949199915,2.097630741616129,,,,,
a,f64,175.59648991942404,2.094892526305691,,,,,
a,f64,176.83308491885663,2.095282868862903,,,,,
a,f64,178.06967991828918,2.154858752295161,,,,,
a,f64,179.30627491772174,2.0972277875853655,,,,,
a,f64,180.54286991715432,2.0982438924,,,,,
a,f64,181.77946491658687,2.1779394313790332,,,,,
a,f64,183.01605991601943,2.1027587834577237,,,,,
a,f64,184.252654915452,2.0956433579854834,,,,,
